STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/9/2006,0.43,,76,58
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/10/2006,0,,69,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/11/2006,0,,71,53
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/12/2006,0,,69,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/13/2006,0,,79,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/14/2006,0,,72,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/15/2006,0.04,,82,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/16/2006,0,,87,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/17/2006,0,,80,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/18/2006,0,,80,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/19/2006,0.01,,81,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/20/2006,0,,83,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/21/2006,0,,78,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/22/2006,0,,81,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/23/2006,0.36,,83,68
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/24/2006,1.35,,73,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/25/2006,0.74,,74,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/26/2006,0.01,,77,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/27/2006,0,,78,70
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/28/2006,0.3,,80,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/29/2006,0.08,,81,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/30/2006,0,,83,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/1/2006,0,,81,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/2/2006,0.03,,90,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/3/2006,0,,86,72
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/4/2006,0.65,,86,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/5/2006,0.95,,76,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/6/2006,0.57,,78,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/7/2006,0,,81,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/8/2006,0,,81,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/9/2006,0,,84,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/10/2006,0,,79,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/11/2006,0,,81,68
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/12/2006,1.41,,81,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/13/2006,0.03,,86,68
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/14/2006,0,,79,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/15/2006,0,,79,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/16/2006,0,,94,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/17/2006,0,,93,74
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/18/2006,0.06,,95,73
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/19/2006,0,,87,73
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/20/2006,0,,84,70
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/21/2006,1.04,,85,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/22/2006,0.09,,79,72
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/23/2006,0.01,,79,68
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/24/2006,0,,83,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/25/2006,0,,80,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/26/2006,0,,83,70
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/27/2006,0.17,,83,72
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/28/2006,0.05,,85,73
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/29/2006,0,,90,74
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/30/2006,0,,91,79
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7/31/2006,0,,88,73
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/1/2006,0,,97,76
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/2/2006,0,,97,80
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/3/2006,0.02,,99,79
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/4/2006,0,,93,76
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/5/2006,0,,91,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/6/2006,0,,83,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/7/2006,0,,87,74
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/8/2006,0,,89,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/9/2006,0,,81,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/10/2006,0.76,,84,69
